title,date,content,from
中国证监会发布关于修改《证券期货行政执法当事人承诺制度实施规定》的决定,2025-12-31,"为贯彻落实中央金融工作会议精神和新“国九条”关于完善行政执法当事人承诺制度的要求，进一步明确行政执法当事人承诺受理条件，规范办理程序，中国证监会对《证券期货行政执法当事人承诺制度实施规定》进行修改完善，发布了《关于修改〈证券期货行政执法当事人承诺制度实施规定〉的决定》（以下简称《决定》），自2026年2月1日起施行。
《决定》的主要内容包括：一是完善受理条件。根据国务院《证券期货行政执法当事人承诺制度实施办法》（以下简称《实施办法》）第七条第六项规定，《决定》规定，有下列情形之一的，中国证监会对适用行政执法当事人承诺的申请不予受理：当事人拒绝、阻碍中国证监会或其派出机构依法对其涉嫌违法行为进行调查；当事人缺乏交纳承诺金的能力；当事人被列入证券期货市场严重失信主体名单且未修复；当事人曾因涉嫌证券期货违法行为适用行政执法当事人承诺制度，自承诺认可协议履行完毕之日起未逾1年；中国证监会基于审慎监管原则认为不适用行政执法当事人承诺制度的其他情形。二是完善办理程序。《决定》明确了“经过必要的调查”的执行标准，完善了申请材料要求、补正申请的程序规范，以及内部征求意见程序等。三是加强对当事人的诚信约束。为提升行政执法当事人承诺制度的严肃性，《决定》明确，当事人或其受托人利用行政执法当事人承诺恶意拖延调查、审理程序，向第三方泄露协商内容，打探行政执法当事人承诺案件办理信息等行为，属于国务院《实施办法》第十九条规定的违背诚信原则的情形，可以按照规定处理。此外，《决定》明确，在考虑国务院《实施办法》第十四条第一款第二项规定的因素时，原则上按照不低于当事人涉嫌违法行为依法可能被处以罚款、没收违法所得的金额协商确定。
下一步，中国证监会将做好行政执法当事人承诺制度实施工作，进一步发挥行政执法当事人承诺制度在保护投资者合法权益、维护市场秩序、提高行政执法效能等方面的积极作用。
【第232号令】《关于修改〈证券期货行政执法当事人承诺制度实施规定〉的决定》",证监会
中国证监会印发《中国证监会关于推出商业不动产投资信托基金试点的公告》,2025-12-31,"为贯彻落实党中央、国务院决策部署和资本市场新“国九条”要求，推动不动产投资信托基金（REITs）市场高质量发展，丰富资本市场投融资工具，支持构建房地产发展新模式，持续增强多层次资本市场服务实体经济质效，中国证监会制定了《中国证监会关于推出商业不动产投资信托基金试点的公告》（以下简称《公告》），自2025年12月31日起实施。
《公告》共八条，主要包括以下内容：一是产品定义，商业不动产REITs是指通过持有商业不动产以获取稳定现金流并向基金份额持有人分配收益的封闭式公开募集证券投资基金。二是基金注册及运营管理要求，明确基金管理人及基金托管人、尽职调查、申请材料、商业不动产等方面要求，以及基金管理人的主动运营管理责任。三是发挥基金管理人和专业机构作用，压严压实责任，要求严格遵守执业规范和监管要求。四是强化监管责任，明确各监管机构依法依规履行商业不动产REITs监管和风险监测处置等职责。此外，商业不动产REITs其他有关事宜，参照《公开募集基础设施证券投资基金指引（试行）》有关规定执行。
前期，中国证监会就《公告》向社会公开征求意见。各方对《公告》的基本思路和主要内容总体认可。中国证监会对反馈意见逐条进行了认真研究，充分吸收合理意见。后续，中国证监会将做好《公告》落地实施工作。
【第21号公告】《中国证监会关于推出商业不动产投资信托基金试点的公告》",证监会
关于推动不动产投资信托基金（REITs）市场高质量发展有关工作的通知,2025-12-31,"（证监发〔2025〕63号）
中国证监会各派出机构，上海证券交易所，深圳证券交易所，北京证券交易所，中国证券登记结算有限责任公司，中国证券业协会，中国证券投资基金业协会：
为贯彻落实党的二十届三中、四中全会和中央经济工作会议精神，按照《国务院关于加强监管防范风险推动资本市场高质量发展的若干意见》（国发〔2024〕10号）工作部署，推动不动产投资信托基金（以下简称REITs）市场高质量发展，完善基础制度，优化监管安排，健全市场功能，增强多层次资本市场服务实体经济质效。现就有关事项通知如下。
一、推动商业不动产REITs平稳健康发展
（一）深刻认识发展商业不动产REITs的重要意义。推动商业不动产REITs市场发展是资本市场落实党中央、国务院关于“盘活存量、做优增量”“提高直接融资比重”决策部署的重要举措，是通过市场化机制支持构建房地产发展新模式的有效手段，对于推动REITs市场健康发展、促进REITs功能发挥、不断提高资本市场制度的包容性和适应性具有重要意义。各单位要高度重视、精心组织，督促REITs市场各主体、各参与方、各环节严格落实有关监管要求和风险防控要求，切实做好商业不动产REITs各项工作，确保取得实效。
（二）激发市场主体活力。结合商业不动产特点，明确商业不动产REITs市场化准入安排，着力稳定预期、提升效率，更好激发市场主体活力、充分发挥市场优势。重点支持符合政策导向、具有商业属性的资产发行商业不动产REITs，提高发行上市效率。鼓励REITs持有业态相近、功能互补或运营协同的资产组合，推动跨领域资产整合，提升规模效应和风险分散能力。支持经营规范、治理健全、资产管理经验丰富的银行保险业资产管理公司等金融机构参与商业不动产REITs业务。有序拓展原始权益人范围。
（三）加大工作推动力度。各证监局要充分发挥属地监管优势，加强政策宣传解读，推动优质资产培育，及时协调推动解决辖区商业不动产REITs发展过程中的堵点难点。证券交易所要持续提高市场推广质量，提升上市审核质效，优化市场服务，增强市场获得感。进一步压实基金管理人、财务顾问等机构的尽职调查与核查把关责任，确保商业不动产REITs信息披露真实、准确、完整，严把资产合规关、风险关和质量关。
二、加快推进REITs市场体系建设
（四）推进市场扩容扩围。持续加大优质REITs供给，推动市场业态不断丰富、规模有序增长。完善REITs扩募制度安排与市场化定价机制，积极探索多元、高效的扩募实施路径。支持运营稳健、治理有效、信息披露质量较高的上市REITs通过购入资产、扩募、合并等方式做优做强，有序提升单只REITs资产规模和风险抵御能力，不断增强其长期价值创造的内生动力。平等对待各种所有制企业，支持民营企业通过REITs盘活存量资产，拓宽权益融资渠道。
（五）加强二级市场建设。丰富覆盖REITs的指数体系，支持基金管理人开发挂钩相关指数的基金产品，支持符合条件的公募基金将REITs纳入投资范围，研究探索跟踪REITs指数的交易型开放式指数基金（REITs ETF）等创新产品，进一步丰富投资者资产配置选择。加大力度引导保险资金、社保基金、年金基金等各类中长期资金入市，发挥其稳定器和压舱石作用。推动将REITs纳入沪深港通标的范围，扩大市场高水平对外开放。推动专业投资机构加强REITs投研能力建设，倡导投资者关注资产基本面与长期投资价值。
（六）不断完善市场生态。完善REITs发行与交易机制，优化以市场化为导向的REITs估值与发行定价机制，规范推介、询价、定价、配售等发售行为。结合不动产运营特点与风险收益特征，强化REITs信息披露和市场约束。持续加强与相关部门沟通协调，积极推动REITs配套政策落实落地，提升政策合力。加快推进REITs专项立法及部门规章的制定工作，着力提升制度的包容性和适应性，夯实REITs市场高质量发展的法治基础。健全多层次REITs市场体系。
三、完善REITs申报注册制度机制
（七）优化审核注册流程。健全规范透明、权责清晰的REITs审核注册流程，统一审核理念与标准，完善工作机制，优化环节衔接，更好发挥集体决策把关机制作用，切实提升审核注册效率。强化公权力运行监督制约，建立健全有效制衡的质量控制体系与廉政监督机制，为REITs审核注册流程规范运行提供坚实保障。强化证监会对证券交易所REITs上市审核工作的业务指导与监督检查，一体推进审核质量、效率提升与廉政风险防控。REITs审核注册工作坚持“能公开、尽公开”原则，接受社会监督。
（八）健全市场化标准体系。坚持REITs作为资产上市平台的证券本质属性，持续完善针对不同业态资产的REITs审核重点关注事项和信息披露要求，按照“成熟一类、推出一类”原则，以适当形式公开相关标准。及时总结REITs审核注册实践中的共性问题，研究形成解决方案并向市场传导，促进形成稳定预期。研究建立与无风险利率等市场基准挂钩的、更具灵活性的收益率要求。监督REITs回收资金使用，严格遵照国家产业政策、外汇管理和相关法律法规规定，重点支持盘活存量，鼓励用于扩大投资。
四、加强监管与风险防范
（九）健全全链条监管机制。遵循REITs特点规律和风险特征，完善覆盖尽职调查、发行定价、上市交易、资产运营管理、信息披露等全链条监管制度，强化对不动产资产质量、运营管理、治理水平的穿透式监管。证监局要坚持问题和风险导向，做好REITs日常监管与风险监测处置，及时发现、处理违法违规行为和风险事件。证券交易所要通过审核问询、现场督导、现场检查等方式严把REITs发行上市准入关，做好上市交易、信息披露、风险监测等自律监管工作，切实维护市场平稳运行。证券业协会、基金业协会要加强对基金管理人、财务顾问、网下投资者等REITs参与主体的自律管理。强化科技监管应用。
（十）促进市场主体归位尽责。持续压实基金管理人的REITs主动管理职责，通过协议安排、监督检查等方式强化运营管理机构对不动产的运营责任，更好发挥产业方专业优势，提升运营管理效能，持续增强REITs运营质量和分红能力。督促基金管理人、基金托管人、财务顾问、资产支持证券管理人、原始权益人及其他专业机构，严格依照法律法规、合同约定和公开承诺切实履行职责。依法打击违法违规行为，保护投资者合法权益。
（十一）维护市场平稳运行。着力健全REITs信息披露制度，提升信息披露的透明度、标准化和及时性，强化对重大事件的临时披露要求。进一步健全REITs交易监测监控机制，加强风险监测预警，维护二级市场平稳运行，有效防范化解重大风险，不断增强市场韧性和抗风险能力。强化预期引导和投资者教育，多种方式开展政策解读与舆论宣传，持续营造良好市场环境。
请各单位各司其职、协同联动，切实提升监管合力，积极推动REITs各项工作落实落地。
中国证监会
2025年12月31日",证监会
中国证监会修订发布《公开募集证券投资基金销售费用管理规定》,2025-12-31,"为落实《推动公募基金高质量发展行动方案》，进一步降低基金投资者投资成本，规范公募基金销售市场秩序，保护基金投资者合法权益，中国证监会对《开放式证券投资基金销售费用管理规定》进行了修订，并更名为《公开募集证券投资基金销售费用管理规定》（以下简称《规定》），自2026年1月1日起正式施行。
《规定》共6章29条，主要内容如下：一是合理调降公募基金认申购费、销售服务费率水平，切实降低投资者成本。二是简化赎回费收费安排，明确赎回费全部计入基金财产。三是明确对投资者持有期限超过一年的基金份额（货币市场基金除外），不再收取销售服务费，鼓励长期持有。四是设置差异化的客户维护费支付比例上限，鼓励大力发展权益类基金。五是强化基金销售费用规范，明确基金销售结算资金利息归属于投资者，要求基金投顾业务不得双重收费。六是建立基金行业机构投资者直销服务平台，为基金管理人直销业务发展提供高效、便捷、安全的服务。
前期，中国证监会就《规定》向社会公开征求意见。市场各方总体赞同《规定》的修订方向和内容，并提出具体修改建议。中国证监会逐条研究反馈意见，认真吸收采纳，并对《规定》作出修改完善。
下一步，中国证监会将做好《规定》实施工作，坚持投资者利益优先原则，稳步降低基金投资者成本。
【第22号公告】《公开募集证券投资基金销售费用管理规定》",证监会
中国证监会就《上市公司董事会秘书监管规则（征求意见稿）》公开征求意见,2025-12-31,"为进一步规范上市公司董事会秘书履职行为，推动提升上市公司治理水平，中国证监会起草了《上市公司董事会秘书监管规则（征求意见稿）》（以下简称《规则》），现向社会公开征求意见。
《规则》共三十八条，主要内容如下：一是明确职责范围。细化董事会秘书在信息披露、公司治理、内外部沟通等方面的具体职责。二是健全履职保障。从信息获取、履职平台、履职救济等多方面提供保障，促进董事会秘书充分依法履职。三是完善任职管理。提升董事会秘书任职的专业素养及合规要求，禁止可能有职责冲突的兼任。要求提名委员会对董事会秘书任职资格进行审查。四是强化责任追究。要求上市公司内部定期开展履职评价和内部追责；对上市公司出现违法违规但董事会秘书未勤勉尽责的，严格采取监管措施或者实施处罚。
欢迎社会各界提出宝贵意见，中国证监会将根据公开征求意见情况，进一步完善后按程序发布实施。
关于就《上市公司董事会秘书监管规则（征求意见稿）》公开征求意见的通知",证监会
证监会同意焦煤期权注册,2025-12-31,近日，证监会同意大连商品交易所焦煤期权注册。证监会将督促大连商品交易所做好各项准备工作，确保焦煤期权的平稳推出和稳健运行。,证监会
证监会有关部门负责人答记者问,2025-12-31,"问：近日，南京中院就金通灵证券虚假陈述特别代表人诉讼案件依法作出一审先行判决。作为监管机构，如何看待这次诉讼？
答：金通灵案是继康美药业案、泽达易盛案后又一单适用特别代表人诉讼程序作出实体审判结果的证券虚假陈述责任纠纷案件。有关案件有效发挥了特别代表人诉讼以“明示退出、默示加入”的方式，一揽子代表广大投资者低成本集约化维护权益、化解矛盾纠纷的制度功能，也使特别代表人诉讼制度成为证券行政监管和司法审判协同治理、有力威慑证券市场潜在违法违规行为的重要法律方式。
问：我们还关注到，沈阳中院于12月19日发布公告，就锦州港证券虚假陈述责任纠纷案件适用特别代表人诉讼程序审理。对此如何评价？
答：锦州港的虚假陈述等证券违法行为，严重扰乱证券市场秩序，损害广大投资者合法权益，中国证监会已依法进行了行政处罚。相关人民法院依法受理投资者起诉，投资者保护机构中证中小投资者服务中心接受50名以上投资者授权，依法向相关人民法院申请将案件审判程序转换为特别代表人诉讼，12月19日，沈阳中院发布锦州港特别代表人诉讼权利登记公告。投资者保护机构与相关人民法院以具体的案例切实、有效地贯彻落实了新“国九条”有关“加大证券纠纷特别代表人诉讼制度适用力度”的工作部署要求，将保护投资者权益的特别代表人诉讼法律制度规定落到了实处。
下一步，中国证监会将继续支持中证中小投资者服务中心依法履行好支持、代表投资者民事诉讼维权的法定公益服务职能，支持司法机关依法适用代表人诉讼程序开展审判工作，通过监管与司法协同共治，更好维护投资者特别是广大中小投资者合法权益，维护良好市场生态，促进市场高质量发展。
问：12月30日，五矿证券公告就广道数字虚假陈述设立先行赔付专项基金，中国证券投资者保护基金有限责任公司公告受托担任基金管理人。对此如何评价？
答：先行赔付是《证券法》规定的证券纠纷多元化解机制之一，有关发行人的控股股东、实际控制人、相关的证券公司依法自愿作出先行赔付投资者的承诺，设立先行赔付专项基金，与适格投资者开展磋商并争取与投资者达成民事和解。中国证券投资者保护基金有限责任公司作为公益性投资者保护机构，接受基金出资人委托，负责基金日常管理及运作，为先行赔付的顺利开展提供重要支持与服务，切实维护好广大投资者合法权益。中国证监会支持相关市场机构、人员按照《证券法》的相关规定，主动自愿开展先行赔付工作，积极有效化解市场矛盾纠纷，便捷高效地维护投资者合法权益。",证监会
中国证监会发布《证券期货市场监督管理措施实施办法》,2025-12-31,"为贯彻党的二十大和二十届二中、三中、四中全会及中央金融工作会议、中央全面依法治国工作会议精神，落实法治政府建设相关要求，进一步规范证券期货市场监督管理措施（以下简称监管措施）的实施程序，中国证监会制定了《证券期货市场监督管理措施实施办法》（以下简称《实施办法》），自2026年6月30日起施行。
《实施办法》共二十五条，主要包括以下内容：一是明确监管措施的种类。列出责令改正、监管谈话、出具警示函、责令定期报告等十四类比较常用的措施，并将“法律、行政法规、中国证监会规章规定的其他监督管理措施”作为兜底规定。二是明确监管措施的实施原则。实施监管措施，应当遵循依法、效率、公正原则，应当符合法律、行政法规、中国证监会规章规定的程序，应当及时矫正违法行为，防范风险蔓延与危害后果扩散，坚持风险防控与教育相结合，应当以事实为依据，与行为的性质、情节、危害程度以及风险大小相当。三是明确实施监管措施的程序要求。包括监管措施的取证、决定、送达、现场执法、回避、法制审核等一般程序要求，事先告知等特别程序要求，以及紧急情况下的快速处置机制。四是明确监管措施决定的作出及执行要求。包括监管措施决定书应当载明的事项、公开要求、送达程序等。
前期，中国证监会就《实施办法》向社会公开征求意见，社会各方总体对《实施办法》表示赞同认可。中国证监会对反馈意见进行了认真研究，并对《实施办法》作了修改完善。后续，中国证监会将做好《实施办法》实施工作。
【第231号令】《证券期货市场监督管理措施实施办法》",证监会
证监会严肃查处长药控股严重财务造假案件,2025-12-26,近日，证监会对上市公司长江医药控股股份有限公司（简称*ST长药）涉嫌定期报告等财务数据存在虚假记载作出行政处罚事先告知。经查，*ST长药连续三年虚增收入和利润，违反证券法律法规。证监会拟对上市公司罚款1000万元，对14名责任人合计罚款3100万元，对公司原总经理罗明采取终身证券市场禁入措施。*ST长药涉嫌触及重大违法强制退市情形，深交所将依法启动退市程序。证监会对中介机构执业情况同步开展核查，一旦发现违法违规情形，将依法予以惩处。对于可能涉及的犯罪线索，证监会将坚持应移尽移的工作原则，严格按照《刑法》《最高人民检察院 公安部关于公安机关管辖的刑事案件立案追诉标准的规定（二）》的规定移送公安机关。,证监会
国家网信办会同中国证监会深入整治涉资本市场网上虚假不实信息,2025-12-19,"近期，国家网信办会同中国证监会深入整治涉资本市场网上不实信息，依法处置一批炮制谣言、非法荐股的账号。现将部分典型案例通报如下。
1.“八姐无敌”等账号散布涉资本市场监管政策谣言。微信公众号“八姐无敌”“投行那些事儿”、新浪微博账号“投行小兵”等编造虚假IPO政策，炮制所谓“独家爆料”“内幕信息”等无事实依据内容。新浪微博账号“天津股侠”捏造股指期货虚假信息，误导公众认知。涉及的账号已被依法依约采取处置措施。
2.“财报风云”等账号集纳炒作上市公司和金融机构不实信息。微信公众号“财报风云”“伟海精英”恶意集纳上市公司、金融机构负面信息，歪曲解读企业股权结构、财务报表等涉企公开信息，诋毁企业形象声誉，唱衰企业发展前景。微信公众号“大力如山”“中证金镕”长期以“爆料”等方式散布金融机构小道消息，发布无事实依据的内容。涉及的账号已被依法依约采取处置措施。
3.“财经周末老师”等账号利用AI编造资本市场虚假信息。百度百家号“财经周末老师”“小宋老师说财经”“财经岑老师”“龙哥霸气的老巢”等利用AI技术批量生成资本市场虚假不实信息，恶意攻击市场监管政策，采用“标题党”“小作文”等方式煽动负面情绪，干扰投资者决策。涉及的账号已被依法依约关闭。
4.“爱在深秋-郑老师”等账号炒作股市走势，随意预测涨跌，博取流量。抖音账号“爱在深秋-郑老师”长期、频繁地通过煽动性或暗示性话语随意预测股市涨跌，博取流量。抖音账号“老实人老王”“晴天（超短裙战法）”等为博眼球、吸流量，长期恶意蹭炒股市波动等热点话题，挑动网民情绪。涉及的账号已被依法依约关闭。
5.“热点牛股王”等账号非法推荐股票，谋取利益。微信公众号“热点牛股王”、快手账号“五年万倍收益”等非法荐股，通过晒群聊信息、收益截图等方式，暗示能够预测个股走势，渲染购买某股票稳赚不赔，煽动投资者跟风买入。涉及的账号已被依法依约关闭。
资本市场具有很强的信息敏感性，编造、传播资本市场虚假信息以及其他违法违规言论，扰乱信息传播秩序，影响市场稳定运行，将受到法律惩处。网信部门和证券监管部门提醒广大网民，树立正确投资理念，增强风险防范意识，加强金融信息辨别，不造谣、不传谣、不信谣，共同营造清朗的网络空间。",证监会
