code,csname,extname,cname,index_code,index_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159790,华夏中证内地低碳经济主题ETF,碳中和ETF,华夏中证内地低碳经济主题交易型开放式指数证券投资基金,000977.CSI,中证内地低碳经济主题指数,内地低碳,中证指数有限公司,20110121,20100630,1000.0,半年,2021-07-30,2021-08-06,L,SZ,华夏基金,中国建设银行股份有限公司,0.5,纯境内
560620,万家中证全指公用事业ETF,公用事业ETF基金,万家中证全指公用事业交易型开放式指数证券投资基金,000995.CSI,中证全指公用事业指数,全指公用,中证指数有限公司,20110802,20041231,1000.0,半年,2024-09-11,2024-10-09,L,SH,万家基金,中国建设银行股份有限公司,0.5,纯境内
511820,鹏华添利交易型货币B,鹏华添利ETF,鹏华添利交易型货币市场基金B类,,,,,,,,,2016-01-29,2016-02-22,L,SH,鹏华基金,中国工商银行股份有限公司,0.3,纯境内
159985,华夏饲料豆粕期货ETF,豆粕ETF,华夏饲料豆粕期货交易型开放式证券投资基金,000014.DCE,大商所豆粕期货价格指数,豆粕期货价格,大连商品交易所,20130104,20130104,1000.0,,2019-09-24,2019-12-05,L,SZ,华夏基金,中国建设银行股份有限公司,0.5,纯境内
159295,西部利得创业板综合ETF,创业综指ETF西部利得,西部利得创业板综合交易型开放式指数证券投资基金,399102.SZ,创业板综合指数,创业板综,深圳证券信息有限公司,20100820,20100531,1000.0,不定期调整,2025-10-23,2025-11-04,L,SZ,西部利得基金,中国农业银行股份有限公司,0.15,纯境内
159208,万家国证航天航空行业ETF,航天航空ETF,万家国证航天航空行业交易型开放式指数证券投资基金,CN5082.SZ,国证航天航空行业指数,国证航天,深圳证券信息有限公司,20150216,20021231,1000.0,半年,2025-04-28,2025-05-12,L,SZ,万家基金,中国建设银行股份有限公司,0.5,纯境内
159386,A500ETF永赢,A500ETF永赢,永赢中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,中证A500,中证指数有限公司,20240923,20041231,1000.0,半年,2025-01-24,2025-02-11,L,SZ,永赢基金,中信证券股份有限公司,0.15,纯境内
512360,平安MSCI中国A股国际ETF,MSCI中国A股ETF基金,平安MSCI中国A股国际交易型开放式指数证券投资基金,704843.MI,MSCI中国A股国际指数,MSCI中国A股国际指数,摩根士丹利资本国际公司,20140626,20081125,1000.0,,2018-06-15,2018-07-20,L,SH,平安基金,中国工商银行股份有限公司,0.5,纯境内
159235,大成中证全指自由现金流ETF,中证现金流ETF,大成中证全指自由现金流交易型开放式指数证券投资基金,932365.CSI,中证全指自由现金流指数,中证现金流,中证指数有限公司,20241211,20131231,1000.0,三个月,2025-04-23,2025-04-30,L,SZ,大成基金,华泰证券股份有限公司,0.15,纯境内
561980,招商中证半导体产业ETF,半导体设备ETF,招商中证半导体产业交易型开放式指数证券投资基金,931865.CSI,中证半导体产业指数,中证半导,中证指数有限公司,20190320,20161230,1000.0,半年,2023-08-21,2023-09-01,L,SH,招商基金,中泰证券股份有限公司,0.5,纯境内
159246,富国创业板人工智能ETF,创业板人工智能ETF富国,富国创业板人工智能交易型开放式指数证券投资基金,970070.SZ,创业板人工智能指数,创业板人工智能,深圳证券信息有限公司,20240711,20181228,1000.0,半年,2025-07-02,2025-07-10,L,SZ,富国基金,中信建投证券股份有限公司,0.4,纯境内
159793,平安中证沪港深线上消费主题ETF,线上消费ETF基金,平安中证沪港深线上消费主题交易型开放式指数证券投资基金,931481.CSI,中证沪港深线上消费主题指数,SHS线上消费,中证指数有限公司,20200506,20141231,1000.0,半年,2021-11-09,2021-11-24,L,SZ,平安基金,中国农业银行股份有限公司,0.5,纯境内
516630,华夏中证云计算与大数据主题ETF,云计算50ETF,华夏中证云计算与大数据主题交易型开放式指数证券投资基金,930851.CSI,中证云计算与大数据主题指数,云计算,中证指数有限公司,20160720,20120629,1000.0,半年,2021-08-24,2021-09-03,L,SH,华夏基金,中国银行股份有限公司,0.15,纯境内
588250,鹏华上证科创板生物医药ETF,科创生物医药ETF,鹏华上证科创板生物医药交易型开放式指数证券投资基金,000683.SH,上证科创板生物医药指数,科创生物,中证指数有限公司,20220509,20191231,1000.0,三个月,2025-03-12,2025-03-21,L,SH,鹏华基金,中信证券股份有限公司,0.5,纯境内
159938,广发中证全指医药卫生ETF,医药卫生ETF,广发中证全指医药卫生交易型开放式指数证券投资基金,000991.SH,中证全指医药卫生指数,全指医药,中证指数有限公司,20110802,20041231,1000.0,半年,2014-12-01,2015-01-08,L,SZ,广发基金,中国银行股份有限公司,0.5,纯境内
159362,A500ETF工银,A500ETF工银,工银瑞信中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,中证A500,中证指数有限公司,20240923,20041231,1000.0,半年,2024-11-19,2024-12-02,L,SZ,工银瑞信基金,中国建设银行股份有限公司,0.15,纯境内
512120,华安中证细分医药ETF,医药50ETF,华安中证细分医药交易型开放式指数证券投资基金,000814.SH,中证细分医药产业主题指数,细分医药,中证指数有限公司,20120411,20041231,1000.0,半年,2013-12-04,2014-01-06,L,SH,华安基金,中国建设银行股份有限公司,0.5,纯境内
159512,广发中证全指汽车ETF,汽车ETF,广发中证全指汽车交易型开放式指数证券投资基金,931008.CSI,中证全指汽车指数,汽车指数,中证指数有限公司,20130715,20041231,1000.0,半年,2023-07-13,2023-07-25,L,SZ,广发基金,中国建设银行股份有限公司,0.5,纯境内
516670,招商中证畜牧养殖ETF,畜牧养殖ETF,招商中证畜牧养殖交易型开放式指数证券投资基金,930707.CSI,中证畜牧养殖指数,中证畜牧,中证指数有限公司,20150713,20111231,1000.0,半年,2021-03-18,2021-03-26,L,SH,招商基金,中信建投证券股份有限公司,0.2,纯境内
512600,嘉实中证主要消费ETF,消费ETF嘉实,嘉实中证主要消费交易型开放式指数证券投资基金,000932.SH,中证主要消费指数,800消费,中证指数有限公司,20090703,20041231,1000.0,半年,2014-06-13,2014-07-25,L,SH,嘉实基金,中国银行股份有限公司,0.5,纯境内
159780,南方中证科创创业50ETF,双创ETF,南方中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,科创创业50,中证指数有限公司,20210601,20191231,1000.0,三个月,2021-06-24,2021-07-05,L,SZ,南方基金,招商银行股份有限公司,0.5,纯境内
159993,龙头券商,证券ETF龙头,鹏华国证证券龙头交易型开放式指数证券投资基金,399437.SZ,国证证券龙头指数,证券龙头,深圳证券信息有限公司,20141230,20021231,1000.0,半年,2019-12-26,2020-02-07,L,SZ,鹏华基金,中信证券股份有限公司,0.5,纯境内
159629,富国中证1000ETF,1000ETF,富国中证1000交易型开放式指数证券投资基金,000852.SH,中证1000指数,中证1000,中证指数有限公司,20141017,20041231,1000.0,半年,2022-07-27,2022-08-03,L,SZ,富国基金,中国银行股份有限公司,0.15,纯境内
159376,浦银安盛中证A500ETF,A500ETF指数基金,浦银安盛中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,中证A500,中证指数有限公司,20240923,20041231,1000.0,半年,2024-12-30,2025-01-13,L,SZ,浦银安盛基金,中国建设银行股份有限公司,0.15,纯境内
589860,天弘上证科创板综合ETF,科创综指ETF天弘,天弘上证科创板综合交易型开放式指数证券投资基金,000680.SH,上证科创板综合指数,科创综指,中证指数有限公司,20250120,20191231,1000.0,不定期调整,2025-02-26,2025-03-05,L,SH,天弘基金,中信证券股份有限公司,0.15,纯境内
159672,博时主要消费ETF,主要消费ETF,博时中证主要消费交易型开放式指数证券投资基金,000932.SH,中证主要消费指数,800消费,中证指数有限公司,20090703,20041231,1000.0,半年,2023-03-23,2023-04-03,L,SZ,博时基金,平安银行股份有限公司,0.5,纯境内
513820,汇添富中证港股通高股息投资ETF,港股红利ETF基金,汇添富中证港股通高股息投资交易型开放式指数证券投资基金,930914.CSI,中证港股通高股息投资指数,港股通高股息,中证指数有限公司,20161125,20141114,3000.0,一年,2024-04-24,2024-05-16,L,SH,汇添富基金,中国工商银行股份有限公司,0.5,纯境内
560010,广发中证1000ETF,中证1000ETF指数,广发中证1000交易型开放式指数证券投资基金,000852.SH,中证1000指数,中证1000,中证指数有限公司,20141017,20041231,1000.0,半年,2022-07-28,2022-08-04,L,SH,广发基金,中国工商银行股份有限公司,0.15,纯境内
159215,平安中证A500ETF,中证A500ETF指数基金,平安中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,中证A500,中证指数有限公司,20240923,20041231,1000.0,半年,2025-03-26,2025-04-07,L,SZ,平安基金,中国农业银行股份有限公司,0.15,纯境内
159717,ESGETF,ESGETF,鹏华国证ESG300交易型开放式指数证券投资基金,399378.SZ,国证ESG300指数,ESG300,深圳证券信息有限公司,20100920,20100630,1000.0,半年,2021-09-15,2021-09-29,L,SZ,鹏华基金,华泰证券股份有限公司,0.5,纯境内
159550,互联网ETF沪港深,互联网ETF沪港深,西藏东财中证沪港深互联网交易型开放式指数证券投资基金,930625.CSI,中证沪港深互联网指数,SHS互联网,中证指数有限公司,20150421,20120629,1000.0,半年,2025-06-18,2025-06-27,L,SZ,东财基金,广发证券股份有限公司,0.5,纯境内
589680,鹏华科创板综合ETF,科创综指ETF鹏华,鹏华上证科创板综合交易型开放式指数证券投资基金,000680.SH,上证科创板综合指数,科创综指,中证指数有限公司,20250120,20191231,1000.0,不定期调整,2025-02-26,2025-03-05,L,SH,鹏华基金,中国银行股份有限公司,0.15,纯境内
513850,易方达MSCI美国50ETF(QDII),美国50ETF,易方达MSCI美国50交易型开放式指数证券投资基金(QDII),750108.MI,MSCI美国50指数,MSCI美国50指数,摩根士丹利资本国际公司,20220608,20000531,1000.0,三个月,2023-11-06,2023-11-17,L,SH,易方达基金,中国银行股份有限公司,0.5,QDII
513980,景顺长城中证港股通科技ETF,港股科技50ETF,景顺长城中证港股通科技交易型开放式指数证券投资基金,931573.CSI,中证港股通科技指数,港股通科技,中证指数有限公司,20140521,20141231,1000.0,半年,2021-06-21,2021-07-02,L,SH,景顺长城基金,招商银行股份有限公司,0.5,纯境内
517050,互联网50,互联网ETF华泰柏瑞,华泰柏瑞中证沪港深互联网交易型开放式指数证券投资基金,930625.CSI,中证沪港深互联网指数,SHS互联网,中证指数有限公司,20150421,20120629,1000.0,半年,2021-01-25,2021-02-08,L,SH,华泰柏瑞基金,中信建投证券股份有限公司,0.5,纯境内
159996,国泰中证全指家用电器ETF,家电ETF,国泰中证全指家用电器交易型开放式指数证券投资基金,930697.CSI,中证全指家用电器指数,家用电器,中证指数有限公司,20150707,20041231,1000.0,半年,2020-02-27,2020-03-16,L,SZ,国泰基金,上海浦东发展银行股份有限公司,0.5,纯境内
511900,富国收益宝交易型货币H,富国货币ETF,富国收益宝交易型货币市场基金H类,,,,,,,,,2015-11-24,2015-12-09,L,SH,富国基金,中国银行股份有限公司,0.28,纯境内
159217,港股通创新药ETF工银,港股通创新药ETF工银,工银瑞信国证港股通创新药交易型开放式指数证券投资基金,987018.SZ,国证港股通创新药指数,港股通创新药,深圳证券信息有限公司,20211118,20181231,1000.0,三个月,2025-03-26,2025-04-03,L,SZ,工银瑞信基金,广发证券股份有限公司,0.4,纯境内
